W,cons,r2,ddn,mag,cp,nx,pc,p,n_up,n_dn,days_up,days_dn,ep_up,ep_dn,fill_up,fill_dn,advS15_up,advL15_dn,ttf_up,ttf_dn,base_fill_up,base_adv15_up,base_fill_dn,base_adv15_dn,lift_up,lift_dn
15,0.7,0.85,0.5,2.0,False,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,False,False,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,False,True,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,True,False,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,True,True,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.7,0.85,0.5,2.0,True,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,0.5,False,False,False,3.0,3,0,3,0,3,0,0.3333333333333333,,0.0,,3.0,,0.4,0.0,,,-0.06666666666666671,
15,0.8,0.7,0.25,0.5,False,False,False,5.0,2,0,2,0,2,0,0.0,,0.0,,,,0.30000000000000004,0.0,,,-0.30000000000000004,
15,0.8,0.7,0.25,0.5,False,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,0.5,False,False,True,3.0,3,0,3,0,3,0,0.3333333333333333,,0.0,,3.0,,0.4,0.0,,,-0.06666666666666671,
15,0.8,0.7,0.25,0.5,False,False,True,5.0,2,0,2,0,2,0,0.0,,0.0,,,,0.30000000000000004,0.0,,,-0.30000000000000004,
15,0.8,0.7,0.25,0.5,False,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,0.5,False,True,False,3.0,3,0,3,0,3,0,0.3333333333333333,,0.0,,3.0,,0.4,0.0,,,-0.06666666666666671,
15,0.8,0.7,0.25,0.5,False,True,False,5.0,2,0,2,0,2,0,0.0,,0.0,,,,0.30000000000000004,0.0,,,-0.30000000000000004,
15,0.8,0.7,0.25,0.5,False,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,0.5,False,True,True,3.0,3,0,3,0,3,0,0.3333333333333333,,0.0,,3.0,,0.4,0.0,,,-0.06666666666666671,
15,0.8,0.7,0.25,0.5,False,True,True,5.0,2,0,2,0,2,0,0.0,,0.0,,,,0.30000000000000004,0.0,,,-0.30000000000000004,
15,0.8,0.7,0.25,0.5,False,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,0.5,True,False,False,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.5,0.0,,,0.0,
15,0.8,0.7,0.25,0.5,True,False,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.4,0.0,,,-0.4,
15,0.8,0.7,0.25,0.5,True,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,0.5,True,False,True,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.5,0.0,,,0.0,
15,0.8,0.7,0.25,0.5,True,False,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.4,0.0,,,-0.4,
15,0.8,0.7,0.25,0.5,True,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,0.5,True,True,False,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.5,0.0,,,0.0,
15,0.8,0.7,0.25,0.5,True,True,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.4,0.0,,,-0.4,
15,0.8,0.7,0.25,0.5,True,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,0.5,True,True,True,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.5,0.0,,,0.0,
15,0.8,0.7,0.25,0.5,True,True,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.4,0.0,,,-0.4,
15,0.8,0.7,0.25,0.5,True,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,False,False,False,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.4,0.0,,,0.09999999999999998,
15,0.8,0.7,0.25,1.0,False,False,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,1.0,False,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,False,False,True,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.4,0.0,,,0.09999999999999998,
15,0.8,0.7,0.25,1.0,False,False,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,1.0,False,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,False,True,False,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.4,0.0,,,0.09999999999999998,
15,0.8,0.7,0.25,1.0,False,True,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,1.0,False,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,False,True,True,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.4,0.0,,,0.09999999999999998,
15,0.8,0.7,0.25,1.0,False,True,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,1.0,False,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,True,False,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.7,0.25,1.0,True,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,True,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,True,False,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.7,0.25,1.0,True,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,True,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,True,True,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.7,0.25,1.0,True,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,True,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,True,True,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.7,0.25,1.0,True,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,1.0,True,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,False,False,False,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,2.0,False,False,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,2.0,False,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,False,False,True,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,2.0,False,False,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,2.0,False,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,False,True,False,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,2.0,False,True,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,2.0,False,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,False,True,True,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,2.0,False,True,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.25,2.0,False,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,False,False,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,False,True,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,True,False,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,True,True,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.25,2.0,True,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,0.5,False,False,False,3.0,3,0,3,0,3,0,0.3333333333333333,,0.0,,3.0,,0.4,0.0,,,-0.06666666666666671,
15,0.8,0.7,0.5,0.5,False,False,False,5.0,2,0,2,0,2,0,0.0,,0.0,,,,0.30000000000000004,0.0,,,-0.30000000000000004,
15,0.8,0.7,0.5,0.5,False,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,0.5,False,False,True,3.0,3,0,3,0,3,0,0.3333333333333333,,0.0,,3.0,,0.4,0.0,,,-0.06666666666666671,
15,0.8,0.7,0.5,0.5,False,False,True,5.0,2,0,2,0,2,0,0.0,,0.0,,,,0.30000000000000004,0.0,,,-0.30000000000000004,
15,0.8,0.7,0.5,0.5,False,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,0.5,False,True,False,3.0,3,0,3,0,3,0,0.3333333333333333,,0.0,,3.0,,0.4,0.0,,,-0.06666666666666671,
15,0.8,0.7,0.5,0.5,False,True,False,5.0,2,0,2,0,2,0,0.0,,0.0,,,,0.30000000000000004,0.0,,,-0.30000000000000004,
15,0.8,0.7,0.5,0.5,False,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,0.5,False,True,True,3.0,3,0,3,0,3,0,0.3333333333333333,,0.0,,3.0,,0.4,0.0,,,-0.06666666666666671,
15,0.8,0.7,0.5,0.5,False,True,True,5.0,2,0,2,0,2,0,0.0,,0.0,,,,0.30000000000000004,0.0,,,-0.30000000000000004,
15,0.8,0.7,0.5,0.5,False,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,0.5,True,False,False,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.5,0.0,,,0.0,
15,0.8,0.7,0.5,0.5,True,False,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.4,0.0,,,-0.4,
15,0.8,0.7,0.5,0.5,True,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,0.5,True,False,True,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.5,0.0,,,0.0,
15,0.8,0.7,0.5,0.5,True,False,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.4,0.0,,,-0.4,
15,0.8,0.7,0.5,0.5,True,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,0.5,True,True,False,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.5,0.0,,,0.0,
15,0.8,0.7,0.5,0.5,True,True,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.4,0.0,,,-0.4,
15,0.8,0.7,0.5,0.5,True,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,0.5,True,True,True,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.5,0.0,,,0.0,
15,0.8,0.7,0.5,0.5,True,True,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.4,0.0,,,-0.4,
15,0.8,0.7,0.5,0.5,True,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,False,False,False,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.4,0.0,,,0.09999999999999998,
15,0.8,0.7,0.5,1.0,False,False,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,1.0,False,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,False,False,True,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.4,0.0,,,0.09999999999999998,
15,0.8,0.7,0.5,1.0,False,False,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,1.0,False,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,False,True,False,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.4,0.0,,,0.09999999999999998,
15,0.8,0.7,0.5,1.0,False,True,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,1.0,False,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,False,True,True,3.0,2,0,2,0,2,0,0.5,,0.0,,3.0,,0.4,0.0,,,0.09999999999999998,
15,0.8,0.7,0.5,1.0,False,True,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,1.0,False,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,True,False,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.7,0.5,1.0,True,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,True,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,True,False,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.7,0.5,1.0,True,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,True,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,True,True,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.7,0.5,1.0,True,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,True,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,True,True,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.7,0.5,1.0,True,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,1.0,True,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,False,False,False,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,2.0,False,False,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,2.0,False,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,False,False,True,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,2.0,False,False,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,2.0,False,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,False,True,False,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,2.0,False,True,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,2.0,False,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,False,True,True,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,2.0,False,True,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.8,0.7,0.5,2.0,False,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,False,False,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,False,True,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,True,False,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,True,True,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.7,0.5,2.0,True,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,False,False,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,0.5,False,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,False,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,False,False,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,0.5,False,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,False,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,False,True,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,0.5,False,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,False,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,False,True,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,0.5,False,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,False,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,True,False,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,0.5,True,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,True,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,True,False,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,0.5,True,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,True,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,True,True,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,0.5,True,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,True,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,True,True,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,0.5,True,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,0.5,True,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,False,False,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,1.0,False,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,False,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,False,False,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,1.0,False,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,False,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,False,True,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,1.0,False,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,False,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,False,True,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,1.0,False,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,False,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,True,False,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,1.0,True,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,True,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,True,False,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,1.0,True,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,True,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,True,True,False,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,1.0,True,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,True,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,True,True,True,3.0,1,0,1,0,1,0,1.0,,0.0,,3.0,,0.6000000000000001,0.0,,,0.3999999999999999,
15,0.8,0.85,0.25,1.0,True,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,1.0,True,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,False,False,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,False,True,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,True,False,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,True,True,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,False,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,False,False,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,False,True,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,True,False,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,True,True,3.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.8,0.85,0.25,2.0,True,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
